reconstruct_smiles,raw_smiles,tanimoto_similarity,Concentration_mM,IE_abs
CC(=O)C(=O)c1ccc(Cl)cc1Cl,CC(=O)COc1ccc(C(=O)/C=C/c2ccc(C)cc2)cc1,0.256097561,1.0,0.02838283333333258
CC(=O)C(=O)c1ccc(Cl)cc1Cl,CC(=O)COc1ccc(C(=O)/C=C/c2ccc(C)cc2)cc1,0.256097561,0.001,0.057151499999999356
C/C(=N\c1ccccn1)c1ccc(O)cc1O,C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O,0.621107266,1.0,0.0032219761904741517
C/C(=N\c1ccccn1)c1ccc(O)cc1O,C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O,0.621107266,0.1,0.03030208333333284
C/C(=N\c1ccccn1)c1ccc(O)cc1O,C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O,0.621107266,0.5,0.058248708333334065
C/C(=N\c1ccccn1)c1ccc(O)cc1O,C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O,0.621107266,0.05,0.017795083333332573
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.948535936,0.1,0.05964349999999974
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.948535936,0.5,0.03094549999999885
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.948535936,5.0,0.1153069999999986
O=P(O)(O)CN(CCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O,O=P(O)(O)CN(CCN(CP(=O)(O)O)CP(=O)(O)O)CCN(CP(=O)(O)O)CP(=O)(O)O,0.871921182,0.1,0.06537299999999935
O=P(O)(O)CN(CCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O,O=P(O)(O)CN(CCN(CP(=O)(O)O)CP(=O)(O)O)CCN(CP(=O)(O)O)CP(=O)(O)O,0.871921182,0.01,0.07760750000000038
O=P(O)(O)CN(CCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O,O=P(O)(O)CN(CCN(CP(=O)(O)O)CP(=O)(O)O)CCN(CP(=O)(O)O)CP(=O)(O)O,0.871921182,0.001,0.011458499999999483
OC1C=CC=CC=1/C=N/CC1C2=CC=CN=C2C(=CC=1)O,NCCNCc1ccc(O)c2ncccc12,0.733870968,1.0,0.11123300000000058
OC1C=CC=CC=1/C=N/CC1C2=CC=CN=C2C(=CC=1)O,NCCNCc1ccc(O)c2ncccc12,0.733870968,0.1,0.20605050000000147
OC1C=CC=CC=1/C=N/CC1C2=CC=CN=C2C(=CC=1)O,NCCNCc1ccc(O)c2ncccc12,0.733870968,0.01,0.25214800000000126
OC1C=CC=CC=1/C=N/CC1C2=CC=CN=C2C(=CC=1)O,NCCNCc1ccc(O)c2ncccc12,0.733870968,0.001,0.31780150000000096
Oc1ccccc1CNCc1ccccc1,COc1ccc(/C=C/C=O)cc1,0.26056338,1.0,0.005297166666665909
Oc1ccccc1CNCc1ccccc1,COc1ccc(/C=C/C=O)cc1,0.26056338,0.1,0.1688475833333326
Oc1ccccc1CNCc1ccccc1,COc1ccc(/C=C/C=O)cc1,0.26056338,0.01,0.03862975000000046
Oc1ccccc1CNCc1ccccc1,COc1ccc(/C=C/C=O)cc1,0.26056338,0.001,0.06485025000000033
c1ccc2[nH]c(SCCCCCCSc3nc4ccccc4[nH]3)nc2c1,c1ccc2[nH]c(SCCCCCCCCCCCCSc3nc4ccccc4[nH]3)nc2c1,0.979522184,0.1,0.06785900000000256
c1ccc2[nH]c(SCCCCCCSc3nc4ccccc4[nH]3)nc2c1,c1ccc2[nH]c(SCCCCCCCCCCCCSc3nc4ccccc4[nH]3)nc2c1,0.979522184,0.01,0.06699800000000256
c1ccc2[nH]c(SCCCCCCSc3nc4ccccc4[nH]3)nc2c1,c1ccc2[nH]c(SCCCCCCCCCCCCSc3nc4ccccc4[nH]3)nc2c1,0.979522184,0.5,0.05951633333333539
c1ccc2[nH]c(SCCCCCCSc3nc4ccccc4[nH]3)nc2c1,c1ccc2[nH]c(SCCCCCCCCCCCCSc3nc4ccccc4[nH]3)nc2c1,0.979522184,0.05,0.06398054166666889
N1C(C/C(=N\C2=CC=CC=C12)/C)=O,C[N+](C)(CCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.293739968,0.1,0.14279049999999993
N1C(C/C(=N\C2=CC=CC=C12)/C)=O,C[N+](C)(CCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.293739968,0.01,0.02334950000000091
N1C(C/C(=N\C2=CC=CC=C12)/C)=O,C[N+](C)(CCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.293739968,0.5,0.07440349999999973
N1C(C/C(=N\C2=CC=CC=C12)/C)=O,C[N+](C)(CCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.293739968,0.05,0.09246800000000044
CCCCC[N+](C)(C)CCNCc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Br-],CCCCCC[N+](C)(C)CCNCc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Br-],0.995198079,0.01,0.06623600000000107
CCCCC[N+](C)(C)CCNCc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Br-],CCCCCC[N+](C)(C)CCNCc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Br-],0.995198079,0.05,0.11705874999999888
CCCCC[N+](C)(C)CCNCc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Br-],CCCCCC[N+](C)(C)CCNCc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Br-],0.995198079,0.005,0.08542299999999947
CCCCCSc1ncnn1N,CCCCCCSc1ncnn1N,0.980237154,1.0,0.040753333333333974
CCCCCSc1ncnn1N,CCCCCCSc1ncnn1N,0.980237154,0.1,0.08821900000000005
CCCCCSc1ncnn1N,CCCCCCSc1ncnn1N,0.980237154,0.01,0.10894599999999965
CCCCCSc1ncnn1N,CCCCCCSc1ncnn1N,0.980237154,0.001,0.0676994999999988
Oc1ccccc1C=Nc1ccccc1O,Cc1ccc(O)c(/C=N/c2ccccc2O)c1,0.862068966,1.0,0.0038369523809528294
Oc1ccccc1C=Nc1ccccc1O,Cc1ccc(O)c(/C=N/c2ccccc2O)c1,0.862068966,0.5,0.01840675000000136
Oc1ccccc1C=Nc1ccccc1O,Cc1ccc(O)c(/C=N/c2ccccc2O)c1,0.862068966,5.0,0.015002666666663944
