reconstruct_smiles	raw_smiles	tanimoto_similarity
CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-]	CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-]	1
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O	CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O	0.948535936
CCCCn1cc[n+](C)c1.[I-]	CCCCn1cc[n+](C)c1.[I-]	1
[Br-].c1ccc(CCn2cc[n+](Cc3ccccc3)c2)cc1	[Br-].c1ccc(CCn2cc[n+](Cc3ccccc3)c2)cc1	1
COc1ccc(O)c(/C=N/N2C(=O)c3ccccc3NC2c2cc(OC)ccc2O)c1	COc1ccc(O)c(/C=N/N2C(=O)c3ccccc3NC2c2cc(OC)ccc2O)c1	1
CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1	CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1	1
CC(=NOCn1cnnc1)c1ccc(F)cc1	CC(=NOCn1cnnc1)c1ccc(Cl)cc1	0.741847826
[Br-].c1ccc(CCn2cc[n+](CCc3ccccc3)c2)cc1	[Br-].c1ccc(CCn2cc[n+](CCc3ccccc3)c2)cc1	1
CCCCn1cc[n+](C)c1.[I-]	CCCCn1cc[n+](C)c1.[I-]	1
c1ccc2[nH]c(-c3ccncc3)nc2c1	c1ccc2[nH]c(-c3ccncc3)nc2c1	1
C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O	C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O	1
Cc1ccc(N2C(=O)C=CC2=O)cc1	Cc1ccc(N2C(=O)C=CC2=O)cc1	1
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O	CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O	1
O=P(O)(O)CN(CCCCCCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O	O=P(O)(O)CN(CCCCCCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O	1
CCCCCCCCCCCCCCCCC1=NCCN1CCNCCNCC[N+](CCC(=O)c1ccccc1)(CCC(=O)c1ccccc1)C(Cl)c1ccccc1	CCCCCCCCCCCCCCCCC1=NCCN1CCNCCNCC[N+](CCC(=O)c1ccccc1)(CCC(=O)c1ccccc1)C(Cl)c1ccccc1	1
