reconstruct_smiles,raw_smiles,tanimoto_similarity,Concentration_mM,IE_abs
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cn1cc[n+](CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.444730077,1.0,0.09379250000000083
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cn1cc[n+](CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.444730077,2.0,0.04600800000000066
C(COc1nc(OCCOCC2CO2)nc(OCCCCC2CO2)n1)OCC1CO1,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,0.152827918,0.01,0.019018016666667137
C(COc1nc(OCCOCC2CO2)nc(OCCCCC2CO2)n1)OCC1CO1,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,0.152827918,0.05,0.1942231000000001
CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.925541126,0.1,0.15876550000000067
CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.925541126,0.5,0.07975599999999883
CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.925541126,5.0,0.06649450000000146
O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.497101449,1.0,0.030326499999998147
O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.497101449,0.1,0.0023164999999993885
O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.497101449,0.01,0.07678316666666674
O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.497101449,0.05,0.05894074999999954
O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.497101449,0.001,0.22448699999999966
O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.497101449,5.0,0.028126500000001275
O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.497101449,0.005,0.06620449999999944
CCN(CC)CCN1C(=O)C(=O)c2cc(Br)ccc21,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.379828326,0.1,0.29388749999999975
CCN(CC)CCN1C(=O)C(=O)c2cc(Br)ccc21,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.379828326,0.5,0.16745700000000008
CCN(CC)CCN1C(=O)C(=O)c2cc(Br)ccc21,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.379828326,5.0,0.00893066666666753
CCc1ccc(/C=N\NC(N)=S)cc1,NC(=S)N/N=C\c1ccc(C(=O)O)cc1,0.588461538,0.1,0.03361949999999836
CCc1ccc(/C=N\NC(N)=S)cc1,NC(=S)N/N=C\c1ccc(C(=O)O)cc1,0.588461538,0.05,0.06008449999999965
CCc1ccc(/C=N\NC(N)=S)cc1,NC(=S)N/N=C\c1ccc(C(=O)O)cc1,0.588461538,0.05,0.06008449999999965
CCc1ccc(/C=N\NC(N)=S)cc1,NC(=S)N/N=C\c1ccc(C(=O)O)cc1,0.588461538,0.2,0.02021050000000091
Cc1ccc(-c2nc3ccccc3c(=O)n2C)cc1,N1C2C=CC=CC=2N(CC2C=CC(=CC=2)OC)C=1C1=CC=C(C=C1)OC,0.470359572,0.1,0.04138675000000125
Cc1ccc(-c2nc3ccccc3c(=O)n2C)cc1,N1C2C=CC=CC=2N(CC2C=CC(=CC=2)OC)C=1C1=CC=C(C=C1)OC,0.470359572,0.01,0.031983500000000165
Cc1ccc(-c2nc3ccccc3c(=O)n2C)cc1,N1C2C=CC=CC=2N(CC2C=CC(=CC=2)OC)C=1C1=CC=C(C=C1)OC,0.470359572,0.05,0.05171750000000075
Cc1ccc(-c2nc3ccccc3c(=O)n2C)cc1,N1C2C=CC=CC=2N(CC2C=CC(=CC=2)OC)C=1C1=CC=C(C=C1)OC,0.470359572,0.005,0.060839999999999006
CCCN(CCC)Cc1ccc2cccnc2c1O,NCCNCc1ccc(O)c2ncccc12,0.666666667,1.0,0.05469000000000113
CCCN(CCC)Cc1ccc2cccnc2c1O,NCCNCc1ccc(O)c2ncccc12,0.666666667,0.1,0.0901614999999999
CCCN(CCC)Cc1ccc2cccnc2c1O,NCCNCc1ccc(O)c2ncccc12,0.666666667,0.01,0.11909499999999829
CCCN(CCC)Cc1ccc2cccnc2c1O,NCCNCc1ccc(O)c2ncccc12,0.666666667,0.001,0.17242350000000084
COc1cc(O)ccc1-c1nc(-c2ccccc2)c(-c2ccccc2)n1-c1ccccc1,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,0.434733258,5.0,0.002809499999999243
C(=N/c1ccc(Cc2ccc(/N=C/c3ccc4ccccc4n3)cc2)cc1)\c1cccc2cccc2n1,C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,0.352702703,1.0,0.05123999999999862
C(=N/c1ccc(Cc2ccc(/N=C/c3ccc4ccccc4n3)cc2)cc1)\c1cccc2cccc2n1,C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,0.352702703,0.5,0.046150000000000024
C(=N/c1ccc(Cc2ccc(/N=C/c3ccc4ccccc4n3)cc2)cc1)\c1cccc2cccc2n1,C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,0.352702703,5.0,0.05443450000000005
Cc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,0.953929539,1.0,0.004631333333334431
Cc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,0.953929539,0.1,0.08236150000000086
Cc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,0.953929539,0.01,0.10395599999999983
Cc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,0.953929539,0.001,0.07113150000000068
Cc1ccc(/C=N\N=c2\[nH]c(C(C)(O)O)c(-c3ccc(Cl)cc3)s2)cc1,CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1,0.979700855,0.1,0.12430000000000041
Cc1ccc(/C=N\N=c2\[nH]c(C(C)(O)O)c(-c3ccc(Cl)cc3)s2)cc1,CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1,0.979700855,0.01,0.143189000000001
Cc1ccc(/C=N\N=c2\[nH]c(C(C)(O)O)c(-c3ccc(Cl)cc3)s2)cc1,CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1,0.979700855,0.5,0.1289650000000011
Cc1ccc(/C=N\N=c2\[nH]c(C(C)(O)O)c(-c3ccc(Cl)cc3)s2)cc1,CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1,0.979700855,0.05,0.13415200000000227
