id,reconstruct_smiles,raw_smiles,tanimoto_similarity,reconstruct_molwt,reconstruct_logp,raw_molwt,raw_logp,delta_molwt,delta_logp
1,C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cn1cc[n+](CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.444730077,411.346,-1.1742,407.314,0.3642,4.032,-1.5384
2,C(COc1nc(OCCOCC2CO2)nc(OCCCCC2CO2)n1)OCC1CO1,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,0.152827918,427.454,0.4079,310.335,0.8768,117.119,-0.4689
3,CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.925541126,365.411,0.0237,334.397,0.8608,31.014,-0.8371
4,O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.497101449,236.614,2.6089,240.218,2.5895,-3.604,0.0194
5,CCN(CC)CCN1C(=O)C(=O)c2cc(Br)ccc21,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.379828326,325.206,2.3202,334.397,0.8608,-9.191,1.4594
6,CCc1ccc(/C=N\NC(N)=S)cc1,NC(=S)N/N=C\c1ccc(C(=O)O)cc1,0.588461538,207.302,1.4161,223.257,0.5519,-15.955,0.8642
7,Cc1ccc(-c2nc3ccccc3c(=O)n2C)cc1,N1C2C=CC=CC=2N(CC2C=CC(=CC=2)OC)C=1C1=CC=C(C=C1)OC,0.470359572,250.301,2.90892,344.414,4.7688,-94.113,-1.85988
8,CCCN(CCC)Cc1ccc2cccnc2c1O,NCCNCc1ccc(O)c2ncccc12,0.666666667,258.365,3.5624,217.272,0.9887,41.093,2.5737
9,COc1cc(O)ccc1-c1nc(-c2ccccc2)c(-c2ccccc2)n1-c1ccccc1,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,0.434733258,418.496,6.5875,472.553,1.14742,-54.057,5.44008
10,C(=N/c1ccc(Cc2ccc(/N=C/c3ccc4ccccc4n3)cc2)cc1)\c1cccc2cccc2n1,C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,0.352702703,476.583,7.8266,470.532,7.5624,6.051,0.2642
