SMILES,IE,Concentration_mM
[Br-].c1ccc(OCCC[n+]2ccccn2)cc1,0.9103,1
[Br-].c1ccc(OCCC[n+]2ccccn2)cc1,0.75,0.01
[Br-].c1ccc(OCCC[n+]2ccccn2)cc1,0.7703,0.1
[Br-].c1ccc(OCCC[n+]2ccccn2)cc1,0.6047,0.001
[N-]=[N+]=NCc1cc(CN2CCCCC2)c(O)c2ncccc12,0.57,0.001
[N-]=[N+]=NCc1cc(CN2CCCCC2)c(O)c2ncccc12,0.71,0.01
[N-]=[N+]=NCc1cc(CN2CCCCC2)c(O)c2ncccc12,0.85,0.1
[N-]=[N+]=NCc1cc(CN2CCCCC2)c(O)c2ncccc12,0.88,1
[N-]=[N+]=NCc1cc(CN2CCOCC2)c(O)c2ncccc12,0.78,0.001
[N-]=[N+]=NCc1cc(CN2CCOCC2)c(O)c2ncccc12,0.84,0.01
[N-]=[N+]=NCc1cc(CN2CCOCC2)c(O)c2ncccc12,0.86,0.1
[N-]=[N+]=NCc1cc(CN2CCOCC2)c(O)c2ncccc12,0.9,1
Brc1ccc(-n2ccnc2)cc1,0.564,1
Brc1ccc(-n2ccnc2)cc1,0.281,0.1
Brc1ccc(-n2ccnc2)cc1,0.455,0.5
Brc1ccc(-n2ccnc2)cc1,0.807,5
Brc1ccc2nc[nH]c2c1,0.607,1
Brc1ccc2nc[nH]c2c1,0.259,0.1
Brc1ccc2nc[nH]c2c1,0.497,0.5
Brc1ccc2nc[nH]c2c1,0.86,5
BrCCCCOc1cccc2cccnc12,0.975,1
BrCCCOc1cccc2cccnc12,0.957,1
BrCCOc1cccc2cccnc12,0.952,1
C#CCN1C(=O)c2ccccc2S1(=O)=O,0.9247,1
C(=N/c1ccc(-c2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.6264,0.01
C(=N/c1ccc(-c2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.7259,0.1
C(=N/c1ccc(-c2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.8041,0.25
C(=N/c1ccc(-c2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.544,0.005
C(=N/c1ccc(Cc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.761,1
C(=N/c1ccc(Cc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.539,0.1
C(=N/c1ccc(Cc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.683,0.5
C(=N/c1ccc(Cc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.889,5
C(=N/c1ccc(CCc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.811,1
C(=N/c1ccc(CCc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.32,0.1
C(=N/c1ccc(CCc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.583,0.5
C(=N/c1ccc(CCc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.914,5
C(=N/c1ccc(Oc2ccc(/N=C/c3ccccn3)cc2)cc1)\c1ccccn1,0.8114,1
C(=N/c1ccc(Oc2ccc(/N=C/c3ccccn3)cc2)cc1)\c1ccccn1,0.6934,0.5
C(=N/c1ccc(Oc2ccc(/N=C/c3ccccn3)cc2)cc1)\c1ccccn1,0.8898,5
C(=N/c1ccc(Oc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.82,1
C(=N/c1ccc(Oc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.577,0.1
C(=N/c1ccc(Oc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.66,0.5
C(=N/c1ccc(Oc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.916,5
C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,0.8783,1
C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,0.7604,0.5
C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,0.93,5
C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,0.864,1
C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,0.5803,0.01
C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,0.7906,0.1
C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,0.697,0.05
C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,0.8217,0.5
C(=Nc1nc[nH]n1)c1ccc(C=Nc2nc[nH]n2)cc1,0.912,1
C(COc1nc(OCCOCC2CO2)nc(OCCOCC2CO2)n1)OCC1CO1,0.84,1
C(COc1nc(OCCOCC2CO2)nc(OCCOCC2CO2)n1)OCC1CO1,0.74,0.01
C(COc1nc(OCCOCC2CO2)nc(OCCOCC2CO2)n1)OCC1CO1,0.79,0.1
C(COc1nc(OCCOCC2CO2)nc(OCCOCC2CO2)n1)OCC1CO1,0.68,0.001
C/C(=N/c1ccc(-c2ccc(N)cc2)cc1)c1c(O)oc(C)cc1=O,0.4959,0.01
C/C(=N/c1ccc(-c2ccc(N)cc2)cc1)c1c(O)oc(C)cc1=O,0.7316,0.1
C/C(=N/c1ccc(-c2ccc(N)cc2)cc1)c1c(O)oc(C)cc1=O,0.7778,0.25
C/C(=N/c1ccc(-c2ccc(N)cc2)cc1)c1c(O)oc(C)cc1=O,0.4145,0.005
C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,0.865,1
C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,0.685,0.01
C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,0.775,0.1
C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,0.611,0.001
C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,0.814,1
C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,0.708,0.01
C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,0.78,0.1
C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,0.606,0.001
C[N+](C)(C)CCCCCCN1C(=O)C(=O)c2ccccc21,0.9207,1
C[N+](C)(CCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.7047,0.01
C[N+](C)(CCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.875,0.1
