reconstruct_smiles,raw_smiles,tanimoto_similarity,Concentration_mM,IE_abs
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cn1cc[n+](CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.444730077,1.0,0.09546950000000082
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cn1cc[n+](CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.444730077,2.0,0.040829500000000685
COc1ccc(OC)c(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)c1,COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,0.692156863,1.0,0.01409349999999776
COc1ccc(OC)c(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)c1,COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,0.692156863,0.1,0.012957999999998582
COc1ccc(OC)c(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)c1,COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,0.692156863,0.01,0.05482200000000159
COc1ccc(OC)c(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)c1,COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,0.692156863,0.001,0.056795499999999555
CCCCCCn1cc[n+](C)c1.[I-],CCCCn1cc[n+](C)c1.[I-],0.914438503,1.0,0.09473550000000364
CCCCCCn1cc[n+](C)c1.[I-],CCCCn1cc[n+](C)c1.[I-],0.914438503,0.1,0.15290900000000185
CCCCCCn1cc[n+](C)c1.[I-],CCCCn1cc[n+](C)c1.[I-],0.914438503,0.5,0.08343100000000025
CCCCCCn1cc[n+](C)c1.[I-],CCCCn1cc[n+](C)c1.[I-],0.914438503,0.05,0.1712240000000011
CCCCCCn1cc[n+](C)c1.[I-],CCCCn1cc[n+](C)c1.[I-],0.914438503,5.0,0.042083000000003756
CCN(CC)c1ccc(/C=N\c2nnc(S)s2)cc1,C[N+](C)(CCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.409335727,0.1,0.0261994999999986
CCN(CC)c1ccc(/C=N\c2nnc(S)s2)cc1,C[N+](C)(CCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.409335727,0.01,0.1189788333333337
CCN(CC)c1ccc(/C=N\c2nnc(S)s2)cc1,C[N+](C)(CCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.409335727,0.5,0.033331499999998404
CCN(CC)c1ccc(/C=N\c2nnc(S)s2)cc1,C[N+](C)(CCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-],0.409335727,0.05,0.04966766666666711
CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.925541126,0.1,0.16556666666666736
CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.925541126,0.5,0.08386766666666556
CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.925541126,5.0,0.06692650000000155
O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.497101449,1.0,0.03740257499999844
O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.497101449,0.1,0.007495999999999392
O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.497101449,0.01,0.07416950000000022
O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.497101449,0.05,0.05605137499999946
O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.497101449,0.001,0.21179049999999977
O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.497101449,5.0,0.028557833333334726
O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.497101449,0.005,0.058081999999999634
CCN(CC)CCN1C(=O)C(=O)c2c(Br)cccc21,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,0.402312139,5.0,0.011254666666665192
CCCCCCCC[n+]1ccccn1.[I-],CCCCCCC[n+]1ccccn1.[I-],0.989473684,1.0,0.013384000000001284
CCCCCCCC[n+]1ccccn1.[I-],CCCCCCC[n+]1ccccn1.[I-],0.989473684,0.1,0.008930000000002769
CCCCCCCC[n+]1ccccn1.[I-],CCCCCCC[n+]1ccccn1.[I-],0.989473684,0.01,0.04839500000000174
CCCCCCCC[n+]1ccccn1.[I-],CCCCCCC[n+]1ccccn1.[I-],0.989473684,0.001,0.07707899999999945
