SMILES,QED,LogP,MolWt,HBA,HBD,TPSA,NumRotBonds,IE,Concentration_mM
Brc1ccc(-n2ccnc2)cc1,0.726070299,2.6348,223.073,2,0,17.82,1,0.807,5
Brc1ccc2nc[nH]c2c1,0.689170014,2.3254,197.035,1,1,28.68,0,0.86,5
C(=N/c1ccc(Cc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.321947011,6.9016,386.545,4,0,24.72,6,0.889,5
C(=N/c1ccc(CCc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.295692545,7.096,400.572,4,0,24.72,7,0.914,5
C(=N/c1ccc(Oc2ccc(/N=C/c3ccccn3)cc2)cc1)\c1ccccn1,0.400203239,5.7701,378.435,5,0,59.73,6,0.8898,5
C(=N/c1ccc(Oc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.324228952,7.1031,388.517,5,0,33.95,6,0.916,5
C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,0.219431003,7.5624,470.532,6,0,68.96,8,0.93,5
c1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccccc3)nc3ccccc32)cc1,0.245091881,7.2004,442.566,4,0,35.64,7,0.88,5
CC(=O)c1ccc(-n2ccnc2)cc1,0.672807286,2.0749,186.214,3,0,34.89,2,0.772,5
CC(C)c1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,0.487846583,4.0724,328.328,6,1,110.67,6,0.9682,5
CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,0.553031528,0.0237,365.411,6,4,132.96,4,0.934,5
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,0.674878289,0.3181,349.412,5,3,112.73,4,0.846,5
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.79776327,0.8608,334.397,4,2,86.71,4,0.92,5
Cc1cc(Cc2nc3ccccc3[nH]2)n[nH]1,0.683686542,2.18522,212.256,2,2,57.36,2,0.9219,5
Cc1ccc(O)c(/C=N/c2ccccc2O)c1,0.774127202,3.15682,227.263,3,2,52.82,2,0.94,5
Cc1ncc[nH]1,0.490446891,0.71812,82.106,1,1,28.68,0,0.266,5
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnnn2[K])cc1,0.405536783,3.6718,461.01,7,1,81.65,8,0.889,5
CCCCCCCC[N+](C)(C)c1ccc(/C=N\c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.220932484,2.858,513.524,4,0,39.29,11,0.8648,5
CCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.039295846,7.515,920.96,4,0,43.18,25,0.967,5
CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.072108081,4.9327,780.844,1,0,24.72,22,0.9479,5
CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.031007293,9.0754,977.068,4,0,43.18,29,0.9739,5
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.151853163,4.4184,569.632,4,0,39.29,15,0.94,5
CCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.046089926,6.4931,836.952,1,0,24.72,26,0.949,5
CCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.027115054,10.6358,1033.176,4,0,43.18,33,0.971,5
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.091865486,5.9788,625.74,4,0,39.29,19,0.9565,5
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.029729785,9.6139,949.168,1,0,24.72,34,0.9553,5
CCCCCCn1cc[n+](C)c1.[I-],0.370191345,-1.1031,294.18,1,0,8.81,5,0.936,5
CCCCCCNc1nc(NCCCN(C)C)nc(Nc2nc3ccccc3[nH]2)n1,0.3143137,3.8473,411.558,8,4,106.68,13,0.9704,5
CCCCn1cc[n+](C)c1.[I-],0.447019227,-1.8833,266.126,1,0,8.81,3,0.881,5
CCCn1cc[n+](C)c1.[I-],0.414324009,-2.2734,252.099,1,0,8.81,2,0.839,5
Clc1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1,0.201523642,8.5072,511.456,4,0,35.64,7,0.94,5
Clc1ccc(-n2ccnc2)cc1,0.656380298,2.5257,178.622,2,0,17.82,1,0.629,5
Clc1cccc(-n2ccnc2)c1,0.656380298,2.5257,178.622,2,0,17.82,1,0.632,5
Clc1ccccc1-n1ccnc1,0.656380298,2.5257,178.622,2,0,17.82,1,0.586,5
Clc1ncc[nH]1,0.521511091,1.0631,102.524,1,1,28.68,0,0.528,5
ClCc1nc2ccccc2[nH]1,0.647495777,2.3017,166.611,1,1,28.68,1,0.839,5
COc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCBr)cc1OC.[Br-],0.16662546,1.9386,508.339,3,0,30.82,14,0.8337,5
COc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCCCCCBr)cc1OC.[Br-],0.118409317,3.499,564.447,3,0,30.82,18,0.8495,5
COc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCCCCCCCCCBr)cc1OC.[Br-],0.078628621,5.0594,620.555,3,0,30.82,22,0.8663,5
COc1ccc(O)c(/C=N/c2ccccc2O)c1,0.814653928,2.857,243.262,4,2,62.05,3,0.95,5
COc1ccc2cc(C(C)C(=O)N/N=C(\C)c3ccc(Br)cc3)ccc2c1,0.448260676,5.2548,425.326,3,1,50.69,5,0.95,5
COc1ccc2cc(C(C)C(=O)N/N=C(\C)c3ccccc3)ccc2c1,0.546421752,4.4923,346.43,3,1,50.69,5,0.9,5
NC(=O)c1ccc(N=Cc2cccs2)cc1,0.809428438,2.5976,230.292,3,1,55.45,3,0.949,5
Nc1ccc(-n2ccnc2)cc1,0.639898884,1.4545,159.192,3,1,43.84,1,0.717,5
Nc1ccc2nc[nH]c2c1,0.529376991,1.1451,133.154,2,2,54.7,0,0.724,5
Nc1nc2ccccc2[nH]1,0.565899971,1.1451,133.154,2,2,54.7,0,0.5863,5
NCc1nc2ccccc2[nH]1,0.632365415,1.0216,147.181,2,2,54.7,1,0.597,5
O=C(CS)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)CS,0.048569225,0.1482,782.965,19,2,172.59,44,0.5456,5
O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,0.403203132,2.5895,240.218,3,1,76,1,0.919,5
O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,0.347682744,2.6089,236.614,4,0,73.1,2,0.89,5
O=Cc1cc2cc(Cl)cc([N+](=O)[O-])c2nc1Cl,0.363401348,3.2623,271.059,4,0,73.1,2,0.87,5
O=Cc1cc2cc(Cl)ccc2nc1Cl,0.550780817,3.3541,226.062,2,0,29.96,1,0.96,5
O=Cc1ccc(-n2ccnc2)cc1,0.645836573,1.6848,172.187,3,0,34.89,2,0.804,5
Oc1ccc(CCl)c2ccc[nH+]c12.[Cl-],0.632994974,-0.8977,230.094,1,1,34.37,1,0.9,5
Oc1ccc(-n2ccnc2)cc1,0.687292653,1.5779,160.176,3,1,38.05,1,0.887,5
Oc1ccccc1/C=N/c1ccccc1O,0.753464549,2.8484,213.236,3,2,52.82,2,0.93,5
Oc1ccccc1CNCCNCc1ccccc1O,0.581985719,1.9772,272.348,4,4,64.52,7,0.94,5
OCc1ccc2[nH]cnc2c1,0.634750821,1.0552,148.165,2,2,48.91,1,0.734,5
Sc1nc(/N=C/c2ccco2)n[nH]1,0.56111443,1.437,194.219,5,2,67.07,2,0.9,5
Sc1nc(/N=C/c2cccs2)n[nH]1,0.587323849,1.9055,210.287,5,2,53.93,2,0.93,5
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,0.442907235,1.14742,472.553,10,1,116.86,4,0.94,5
NC1=CC=CC=C1C1=NC2=CC=CC=C2N1,0.605331363,2.8121,209.252,2,2,54.7,1,0.97,5
Cc1ccc(/C=N/NC(=O)c2cccnc2)cc1,0.658777772,2.15392,239.278,3,1,54.35,3,0.966,4
O=C(N/N=C/c1ccc(O)cc1)c1cccnc1,0.632070638,1.5511,241.25,4,2,74.58,3,0.928,4
O=P(O)(O)CN(CCCCCCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O,0.108159152,-0.3084,492.232,6,8,236.6,15,0.8187,4
CCCCCCNc1nc(NCCCN(C)C)nc(Nc2nc3ccccc3[nH]2)n1,0.3143137,3.8473,411.558,8,4,106.68,13,0.9702,3
CCN(CC)c1ccc(/C=N\c2nnc(S)s2)cc1,0.677909483,3.4236,292.433,6,1,41.38,5,0.989,3
NC(=S)N/N=C(\\c1ccco1)C(O)c1ccco1,0.435602071,1.1435,265.294,5,3,96.92,4,0.898,3
Nc1nc2ccccc2[nH]1,0.565899971,1.1451,133.154,2,2,54.7,0,0.563,3
Cc1ccc(O)c(/C=N/c2ccccc2O)c1,0.774127202,3.15682,227.263,3,2,52.82,2,0.91,2.5
CCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.039295846,7.515,920.96,4,0,43.18,25,0.9559,2.5
CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.031007293,9.0754,977.068,4,0,43.18,29,0.9681,2.5
CCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.027115054,10.6358,1033.176,4,0,43.18,33,0.8291,2.5
COc1ccc(O)c(/C=N/c2ccccc2O)c1,0.814653928,2.857,243.262,4,2,62.05,3,0.93,2.5
Oc1ccccc1/C=N/c1ccccc1O,0.753464549,2.8484,213.236,3,2,52.82,2,0.89,2.5
Oc1ccccc1CNCCNCc1ccccc1O,0.581985719,1.9772,272.348,4,4,64.52,7,0.87,2.5
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,0.442907235,1.14742,472.553,10,1,116.86,4,0.9,2.5
c1ccc2[nH]c(-c3ccncc3)nc2c1,0.648091739,2.6249,195.225,2,1,41.57,1,0.821,2
