reconstruct_smiles	raw_smiles	tanimoto_similarity	reconstruct_molwt	reconstruct_logp	raw_molwt	raw_logp	delta_molwt	delta_logp
CCN(CCC)CN1C(=O)C(=O)c2cc(F)ccc21	CCN(CC)CCN1C(=O)C(=O)c2cc(F)ccc21	0.747	264.3	2.0444	264.3	1.6968	0	0.3476
CN(C)c1ccc(/C=N/c2ccccc2S)cc1	CN(C)c1ccc(/C=N/c2ccccc2S)cc1	1	256.374	3.7919	256.374	3.7919	0	0
C/C(=N\c1ccccn1)c1ccc(O)cc1O	C/C(=N\c1ccccn1)c1ccc(O)cc1O	1	228.251	2.6335	228.251	2.6335	0	0
Oc1ccc(CCl)c2ccc[nH+]c12.[Cl-]	Oc1ccc(CCl)c2ccc[nH+]c12.[Cl-]	1	230.094	-0.8977	230.094	-0.8977	0	0
COc1cccc(-c2cnc3cc(S(=O)(=O)c4ccccc4)n23)c1OC	COc1cc(O)ccc1-c1nc(-c2ccccc2)c(-c2ccccc2)n1-c1ccccc1	0.468	368.414	3.3102	418.496	6.5875	-50.082	-3.2773
COc1ccc(C2=NCN(c3ccc(OCC(=O)O)cc3)C2)cc1	COc1ccc(C2=NNC(c3ccc(OCC(=O)O)cc3)C2)cc1	0.362	326.352	2.4254	326.352	2.5973	0	-0.1719
O=C1C=CC(=O)N1c1ccccc1	O=C1C=CC(=O)N1c1ccccc1	1	173.171	1.116	173.171	1.116	0	0
CCCCCCCCCC[N+](C)(C)c1cccc(CNC(=O)CSc2cc(S(=O)CCCCCCCCC)ccc2)c1.[Br-].[Br-]	C[N+](C)(CCCCCCCCBr)c1ccc(/C=N/c2ccc(/N=C/c3ccc([N+](C)(C)CCCCCCCCBr)cc3)cc2)cc1.[Br-].[Br-]	0.379	775.822	3.6689	914.548	5.8006	-138.726	-2.1317
CCCCCCCC[N+](C)(C)CCOCCO.[Br-]	CCCCCCCC[N+](C)(C)CCOCCO.[Br-]	1	326.319	-0.5638	326.319	-0.5638	0	0
CC1(C)CS2(NC(=O)C(C)Nc3ccccc3)(C(=O)N1C)OC2=O	CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O	0.471	353.444	2.5	349.412	0.3181	4.032	2.1819
CC(C)(c1ccc(OC(=O)CSc2ccccc2)c(=O)[nH]1)N1CCC(=O)c2cccnc21	CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O	0.454	449.532	3.7957	349.412	0.3181	100.12	3.4776
OCc1cn(Cc2ccccc2)nn1	OCc1cn(Cc2ccccc2)nn1	1	189.218	0.8187	189.218	0.8187	0	0
NC(=S)/N=N\\C(c1ccco1)C(O)c1ccco1	NC(=S)N/N=C(\\c1ccco1)C(O)c1ccco1	0.383	265.294	2.3431	265.294	1.1435	0	1.1996
CCCCCCNc1nc(NCCCN(C)C)nc(NCCCN(C)C)n1	CCCCCCNc1nc(NCCCN(C)C)nc(NCCCN(C)C)n1	1	380.585	2.591	380.585	2.591	0	0
CC1(C)Sc2c(NC(=O)C3CC3)cccc2C(=O)N1C(=O)O	CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O	0.421	320.37	2.9971	349.412	0.3181	-29.042	2.679
Oc1ccc(CC2=NCCO2)c2cccnc12	Oc1ccc(CC2=NCCO2)c2cccnc12	1	228.251	1.9116	228.251	1.9116	0	0
CC(=O)COc1ccc(C(=O)C/C(=O)c2cccc(C)c2)cc1	CC(=O)COc1ccc(C(=O)/C=C/c2ccc(C)cc2)cc1	0.515	310.349	3.41852	294.35	3.85892	15.999	-0.4404
CCN(CCC)CN1C(=O)C(=O)c2cc(Br)ccc21	CCN(CC)CCN1C(=O)C(=O)c2cc(Br)ccc21	0.748	325.206	2.6678	325.206	2.3202	0	0.3476
COc1ccc(/C=C/C(=O)c2cccc(OCC(=O)O)c2)cc1	COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1	0.773	312.321	3.0547	312.321	3.0547	0	0
Cc1cc(C)n(CC(=O)N/C=N/c2ccccc2)n1	Cc1cc(C)n(CC(=O)N/N=C/c2ccccc2)n1	0.578	256.309	1.97614	256.309	1.65024	0	0.3259
Cc1ccc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc23)cc1	Cc1ccc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1	1	375.859	5.30382	375.859	5.30382	0	0
COc1cccc(-c2cnc3ccccc3n2)c1OC	COc1cccc(-c2cnc3ccccc3n2)c1OC	1	266.3	3.314	266.3	3.314	0	0
O=C(O)c1cccc(N=c2[nH]c(=O)c3ccccc32)c1	COc1ccc(/C=N/c2cccc(C(=O)O)c2)cc1O	0.419	266.256	2.2065	271.272	2.8496	-5.016	-0.6431
