reconstruct_smiles	raw_smiles	tanimoto_similarity	reconstruct_molwt	reconstruct_logp	raw_molwt	raw_logp	delta_molwt	delta_logp
c1ccc2c(c1)OCCOCCOCCOc1ccccc1-c1nnc-2s1	c1ccc2c(c1)OCCOCCOCCOc1ccccc1-c1nnc-2s1	1.0	384.457	3.6765000000000025	384.457	3.6765000000000025	0.0	0.0
CCN(CC)CCN1C(=O)C(=O)c2cc(F)ccc21	CCN(CC)CCN1C(=O)C(=O)c2cc(F)ccc21	1.0	264.3	1.6967999999999999	264.3	1.6967999999999999	0.0	0.0
CN(C)c1ccc(/C=N/c2ccccc2S)cc1	CN(C)c1ccc(/C=N/c2ccccc2S)cc1	1.0	256.374	3.7919000000000027	256.374	3.7919000000000027	0.0	0.0
C/C(=N\c1ccccn1)c1ccc(O)cc1O	C/C(=N\c1ccccn1)c1ccc(O)cc1O	1.0	228.25099999999998	2.633500000000001	228.25099999999998	2.633500000000001	0.0	0.0
Oc1ccc(CCl)c2ccc[nH+]c12.[Cl-]	Oc1ccc(CCl)c2ccc[nH+]c12.[Cl-]	1.0	230.09400000000005	-0.8977000000000002	230.09400000000005	-0.8977000000000002	0.0	0.0
COc1ccc(/C=C/C=N/c2c(C)n(C)n(-c3ccccc3)c2=O)cc1	COc1ccc(/C=C/C=N/c2c(C)n(C)n(-c3ccccc3)c2=O)cc1	1.0	347.418	3.9087200000000024	347.418	3.9087200000000024	0.0	0.0
COc1cccc(-c2cnc3ccn(C(O)c4cccs4)n32)n1	O=C1CC(c2ccc(O)c(O)c2)c2c(cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)[C@H]3c2c(O)cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)C3)O1	0.451	326.38100000000003	2.8071	740.6700000000003	4.14160000000001	-414.28900000000027	-1.33450000000001
COc1ccc(C2(NC(=O)c3c(C)nn(N)c3)SC2)cc1	O=C1CC(c2ccc(O)c(O)c2)c2c(cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)[C@H]3c2c(O)cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)C3)O1	0.359	304.37500000000006	1.2435199999999997	740.6700000000003	4.14160000000001	-436.29500000000024	-2.8980800000000104
COc1ccc(N)c2c(N)[nH]nc12	BrCCCCOc1cccc2cccnc12	0.327	178.195	0.7359	280.165	3.788700000000002	-101.97000000000003	-3.052800000000002
O=C1COC(C(=O)Oc2ccccc2)C1	c1ccc(-c2ccccc2OCC2CO2)c(OCC2CO2)c1	0.278	206.197	0.9500000000000001	298.33799999999997	2.9088000000000003	-92.14099999999996	-1.9588
Oc1ccc2nn(CCn3c(C)c(CCN)c4cccc(O)c43)cc2c1	O(C)C1C=CC(=CC=1)C1=C(C(N)OC2C1=CC=C1C=CC=NC=21)C#N	0.432	350.4220000000001	2.912020000000001	329.35900000000004	3.246080000000001	21.063000000000045	-0.33406
CCCCCCCC[N+](C)(C)CCOCCO.[Br-]	CCCCCCCC[N+](C)(C)CCOCCO.[Br-]	1.0	326.31899999999996	-0.5637999999999961	326.31899999999996	-0.5637999999999961	0.0	0.0
OCc1cn(Cc2ccccc2)nn1	OCc1cn(Cc2ccccc2)nn1	1.0	189.21800000000002	0.8187	189.21800000000002	0.8187	0.0	0.0
NC(=S)N/N=C(\\c1ccco1)C(O)c1ccco1	NC(=S)N/N=C(\\c1ccco1)C(O)c1ccco1	1.0	265.29400000000004	1.1435000000000002	265.29400000000004	1.1435000000000002	0.0	0.0
CCCCCCNc1nc(NCCCN(C)C)nc(NCCCN(C)C)n1	CCCCCCNc1nc(NCCCN(C)C)nc(NCCCN(C)C)n1	1.0	380.58500000000015	2.591000000000001	380.58500000000015	2.591000000000001	0.0	0.0
Oc1ccc(CC2NC(O)C2)c2ccsc12	Oc1ccc(CC2=NCCN2)c2cccnc12	0.36	235.308	1.8296999999999999	227.26700000000002	1.4846	8.040999999999968	0.34509999999999996
Oc1ccc2nn(CNC(=O)CNc3ccccc3)cc2c1	Cn1c(-c2ccc(O)cc2)nc2ccccc2c1=O	0.282	296.33000000000004	1.9277	252.27299999999997	2.3061	44.05700000000007	-0.37839999999999985
CCN(CC)CCN1C(=O)C(=O)c2cc(Br)ccc21	CCN(CC)CCN1C(=O)C(=O)c2cc(Br)ccc21	1.0	325.206	2.3202	325.206	2.3202	0.0	0.0
COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1	COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1	1.0	312.32099999999997	3.0547000000000013	312.32099999999997	3.0547000000000013	0.0	0.0
Cc1cc(C)n(CC(=O)N/N=C/c2ccccc2)n1	Cc1cc(C)n(CC(=O)N/N=C/c2ccccc2)n1	1.0	256.309	1.65024	256.309	1.65024	0.0	0.0
Oc1ccc(CC2NC(=O)C2)cc1SC	Oc1ccc(CC2=NCCN2)c2cccnc12	0.264	223.297	1.5451	227.26700000000002	1.4846	-3.9700000000000273	0.0605
Cc1ccc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1	Cc1ccc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1	1.0	375.8590000000001	5.3038200000000035	375.8590000000001	5.3038200000000035	0.0	0.0
COc1cccc(-c2cnc3ccccc3n2)c1OC	COc1cccc(-c2cnc3ccccc3n2)c1OC	1.0	266.3	3.314000000000002	266.3	3.314000000000002	0.0	0.0
Cc1ccc(O)c2nn(Cc3ccccc3CO)cc12	[N-]=[N+]=NCC(CCl)OCc1ccc(O)c2ncccc12	0.373	268.31600000000003	2.5909200000000006	292.726	3.3747000000000016	-24.409999999999968	-0.783780000000001
CC(=O)C(/N=N/c1ccccc1)=N\c1ccc(Br)cc1	CC(=O)C(/N=N/c1ccccc1)=N\c1ccc(Br)cc1	1.0	330.18500000000006	4.852000000000003	330.18500000000006	4.852000000000003	0.0	0.0
COc1ccc(/C=N\N2CCN(C(N)=O)C2)cc1	COc1ccc(/C=N\\N2C(=S)NNC2C)cc1	0.455	248.28599999999997	0.6829	250.32700000000006	1.0698000000000003	-2.041000000000082	-0.38690000000000035
OCc1nc2ccccc2[nH]1	ClCc1nc2ccccc2[nH]1	0.711	148.165	1.0552	166.611	2.3017	-18.445999999999998	-1.2465
Oc1ccc(CC2NC(=O)C2)cc1SC	Oc1ccc(CC2=NCCN2)c2cccnc12	0.264	223.297	1.5451	227.26700000000002	1.4846	-3.9700000000000273	0.0605
O=C1N=C(c2ccccc2)C1	COc1ccc(C2=NNC(c3ccc(OCC(=O)O)cc3)C2)cc1	0.273	145.16099999999994	1.406	326.35200000000003	2.5973000000000006	-181.1910000000001	-1.1913000000000007
CC1(C)COC(C)(O)C1	O(CC1CO1)C[C@@H]1[C@H](OCC2CO2)[C@H](OCC2CO2)[C@@H](OCC2CO2)[C@H](OC)O1	0.204	130.18699999999998	1.1414	418.4390000000002	-0.8748999999999936	-288.2520000000002	2.0162999999999935
Cn1c(-c2ccc(O)cc2)nc2ccccc2c1=O	Cn1c(-c2ccc(O)cc2)nc2ccccc2c1=O	1.0	252.27299999999997	2.3061	252.27299999999997	2.3061	0.0	0.0
CN(C)c1ccc(/C=C/c2nc3ccccc3[nH]c2=O)cc1	CN(C)c1ccc(/C=C/c2nc3ccccc3[nH]c2=O)cc1	1.0	291.354	3.1595000000000004	291.354	3.1595000000000004	0.0	0.0
Cc1ccccc1N	Cc1ccccc1N	1.0	107.156	1.57722	107.156	1.57722	0.0	0.0
Nc1ccccc1-c1nc2ccccc2[nH]1	Nc1ccccc1-c1nc2ccccc2[nH]1	1.0	209.25200000000004	2.8121	209.25200000000004	2.8121	0.0	0.0
OCc1cn(Cc2ccncc2)nn1	OCc1cn(Cc2ccncc2)nn1	1.0	190.206	0.21369999999999978	190.206	0.21369999999999978	0.0	0.0
S=C(NCc1ccccc1)NCc1ccccc1	S=C(NCc1ccccc1)NCc1ccccc1	1.0	256.374	2.850900000000001	256.374	2.850900000000001	0.0	0.0
S=C(NCc1ccccc1)NCc1ccccc1	S=C(NCc1ccccc1)NCc1ccccc1	1.0	256.374	2.850900000000001	256.374	2.850900000000001	0.0	0.0
COc1cc(O)ccc1-c1nc(-c2ccccc2)c(-c2ccccc2)n1-c1ccccc1	COc1cc(O)ccc1-c1nc(-c2ccccc2)c(-c2ccccc2)n1-c1ccccc1	1.0	418.4960000000001	6.587500000000006	418.4960000000001	6.587500000000006	0.0	0.0
Cc1ccc(-c2nc3ccccc3c(=O)n2C)cc1	Cc1ccc(-c2nc3ccccc3c(=O)n2C)cc1	1.0	250.30100000000002	2.908920000000001	250.30100000000002	2.908920000000001	0.0	0.0
Cc1ccc(O)c2nn(Cc3ccccc3CO)cc12	[N-]=[N+]=NCC(CCl)OCc1ccc(O)c2ncccc12	0.373	268.31600000000003	2.5909200000000006	292.726	3.3747000000000016	-24.409999999999968	-0.783780000000001
[Br-].c1ccc(CCC[n+]2ccn(CCc3ccccc3)c2)cc1	[Br-].c1ccc(CCC[n+]2ccn(CCc3ccccc3)c2)cc1	1.0	371.322	0.6551000000000013	371.322	0.6551000000000013	0.0	0.0
CCCCCCCCCCn1nnnc1Cn1c(=O)nnn1C1=CCC(C)O1	CCOC(=O)C1N=NN(CC2(CC)COC(c3ccccc3)=N2)C1C(=O)OCC	0.361	390.49200000000013	2.2225	402.4510000000001	2.1583999999999994	-11.958999999999946	0.06410000000000071
Oc1ccc2nn(CCOc3ccc(F)cc3)c(O)c2c1	O(C)C1C=CC(=CC=1)C1=C(C(N)OC2C1=CC=C1C=CC=NC=21)C#N	0.333	288.278	2.6656000000000013	329.35900000000004	3.246080000000001	-41.08100000000002	-0.5804799999999997
Cc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1	Cc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1	1.0	296.322	3.354520000000001	296.322	3.354520000000001	0.0	0.0
COc1ccc(C#Cc2cscc2)cc1	COc1ccc(/C=C/C=O)cc1	0.356	214.28900000000002	3.156500000000001	162.188	1.9073	52.10100000000003	1.2492000000000012
O=Cc1ccc(-n2ccnc2)cc1	O=Cc1ccc(-n2ccnc2)cc1	1.0	172.18699999999998	1.6847999999999999	172.18699999999998	1.6847999999999999	0.0	0.0
Brc1ncc[nH]1	Clc1ncc[nH]1	0.381	146.97500000000002	1.1722	102.52399999999999	1.0631	44.451000000000036	0.10909999999999997
c1ccc2c(c1)OCCOc1ccccc1-c1nnc-2s1	c1ccc2c(c1)OCCOc1ccccc1-c1nnc-2s1	1.0	296.351	3.6433000000000018	296.351	3.6433000000000018	0.0	0.0
NC(=O)CNC(C#N)CNC(=O)CCCO	CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-]	0.299	228.25199999999995	-2.157819999999998	645.9400000000004	8.535700000000006	-417.68800000000044	-10.693520000000003
COc1ccc2nnnc(C=C)c2c1	Oc1ccc(CCl)c2ccc[nH+]c12.[Cl-]	0.312	187.202	1.6764	230.09400000000005	-0.8977000000000002	-42.89200000000005	2.5741
Cc1ccccc1N(c1ccccc1)N	Cc1ccccc1N	0.352	198.26900000000003	3.0068200000000003	107.156	1.57722	91.11300000000003	1.4296000000000002
OCc1cn(Cc2ccncc2)nn1	OCc1cn(Cc2ccncc2)nn1	1.0	190.206	0.21369999999999978	190.206	0.21369999999999978	0.0	0.0
CCCN(CCC)Cc1ccc2cccnc2c1O	CCCN(CCC)Cc1ccc2cccnc2c1O	1.0	258.365	3.5624000000000033	258.365	3.5624000000000033	0.0	0.0
COc1ccc(/C=N/c2cccc(C(=O)O)c2)cc1O	COc1ccc(/C=N/c2cccc(C(=O)O)c2)cc1O	1.0	271.272	2.849600000000001	271.272	2.849600000000001	0.0	0.0
Cc1ccc(N2C(=O)C=CC2=O)cc1	Cc1ccc(N2C(=O)C=CC2=O)cc1	1.0	187.198	1.4244199999999998	187.198	1.4244199999999998	0.0	0.0
c1ccc2[nH]c(-c3ccncc3)nc2c1	c1ccc2[nH]c(-c3ccncc3)nc2c1	1.0	195.225	2.6249000000000002	195.225	2.6249000000000002	0.0	0.0
CCN(CC)CCN1C(=O)C(=O)c2cc(Br)ccc21	CCN(CC)CCN1C(=O)C(=O)c2cc(Br)ccc21	1.0	325.206	2.3202	325.206	2.3202	0.0	0.0
c1ccc2c(c1)[nH]c1cnccc12	c1ccc2c(c1)[nH]c1cnccc12	1.0	168.19899999999998	2.7161	168.19899999999998	2.7161	0.0	0.0
CCCn1cc[n+](C)c1.[I-]	CCCn1cc[n+](C)c1.[I-]	1.0	252.09899999999996	-2.273399999999997	252.09899999999996	-2.273399999999997	0.0	0.0
C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O	C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O	1.0	243.26199999999997	2.944100000000001	243.26199999999997	2.944100000000001	0.0	0.0
CCCCCCSc1ncnn1CO	CCCCCCSc1ncnn1N	0.42	215.322	1.9003	200.311	1.6642999999999997	15.010999999999996	0.23600000000000043
CCCCCCn1cc[n+](C)c1.[I-]	CCCCCCn1cc[n+](C)c1.[I-]	1.0	294.17999999999995	-1.1030999999999977	294.17999999999995	-1.1030999999999977	0.0	0.0
CCCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1F	CCCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-]	0.737	332.374	3.2064000000000012	441.288	0.07130000000000081	-108.91399999999999	3.1351000000000004
CC(=O)c1ccc(-n2ccnc2)cc1	CC(=O)c1ccc(-n2ccnc2)cc1	1.0	186.214	2.0749	186.214	2.0749	0.0	0.0
C#CCN1C(=O)c2ccccc2S1(=O)=O	C#CCN1C(=O)c2ccccc2S1(=O)=O	1.0	221.23699999999997	0.4643000000000001	221.23699999999997	0.4643000000000001	0.0	0.0
NC(=O)c1ccc(NCCc2cccs2)cc1	NC(=O)c1ccc(N=Cc2cccs2)cc1	0.455	246.335	2.5016000000000007	230.292	2.597600000000001	16.043000000000006	-0.09600000000000009
Nc1ccc(-n2ccnc2)cc1	Nc1ccc(-n2ccnc2)cc1	1.0	159.19200000000004	1.4545	159.19200000000004	1.4545	0.0	0.0
C[NH+]1CCN(CCO)C1.O=S(=O)(F)[N-]S(=O)(=O)F	C[NH+]1CCN(CCO)C1.O=S(=O)(F)[N-]S(=O)(=O)F	1.0	311.332	-2.444799999999997	311.332	-2.444799999999997	0.0	0.0
COc1cccc(-c2cnc3ccccc3n2)c1OC	COc1cccc(-c2cnc3ccccc3n2)c1OC	1.0	266.3	3.314000000000002	266.3	3.314000000000002	0.0	0.0
C=CCSc1nc2ccccc2[nH]1	C=CCSc1nc2ccccc2[nH]1	1.0	190.27100000000002	2.841	190.27100000000002	2.841	0.0	0.0
		0.777						
