id,SMILES,QED,LogP,MolWt,HBA,HBD,TPSA,NumRotBonds,IE,Concentration_mM,N_count,S_count,O_count,P_count,dipole_moment,HOMO,LUMO,HOMO-LUMO Gap,Ionization Potential,Electron Affinity,Electronegativity,Hardness,Softness,Electrophilicity,Electron Donor Capacity,Electron Acceptor Capacity,vdw_volume,vdw_surface_area,Category
1,Brc1ccc(-n2ccnc2)cc1,0.726070299,2.6348,223.073,2,0,17.82,1,0.807,5,2,0,0,0,2.0171,-0.22811,-0.03902,0.18909,0.22811,0.03902,0.133565,0.094545,10.57697393,0.094344541,0.275182041,0.008052041,1298.279,1301.272689,Imidazoles
2,Brc1ccc2nc[nH]c2c1,0.689170014,2.3254,197.035,1,1,28.68,0,0.86,5,2,0,0,0,3.4935,-0.22435,-0.02847,0.19588,0.22435,0.02847,0.12641,0.09794,10.21033286,0.081577946,0.256957946,0.004137946,1141.338,1137.2436,Benzimidazoles
3,C(=N/c1ccc(Cc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.321947011,6.9016,386.545,4,0,24.72,6,0.889,5,2,2,0,0,2.0187,-0.20773,-0.04959,0.15814,0.20773,0.04959,0.12866,0.07907,12.64702163,0.104675576,0.272870576,0.015550576,3255.509,3258.76408,Schiff bases
4,C(=N/c1ccc(CCc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.295692545,7.096,400.572,4,0,24.72,7,0.914,5,2,2,0,0,3.5022,-0.20903,-0.05075,0.15828,0.20903,0.05075,0.12989,0.07914,12.63583523,0.106592192,0.276052192,0.016272192,3062.357,3070.427058,Schiff bases
5,C(=N/c1ccc(Oc2ccc(/N=C/c3ccccn3)cc2)cc1)\c1ccccn1,0.400203239,5.7701,378.435,5,0,59.73,6,0.8898,5,4,0,1,0,2.4241,-0.1977,-0.06466,0.13304,0.1977,0.06466,0.13118,0.06652,15.03307276,0.129346004,0.293786004,0.031426004,3402.462,3404.32476,Schiff bases
6,C(=N/c1ccc(Oc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.324228952,7.1031,388.517,5,0,33.95,6,0.916,5,2,2,1,0,0.4186,-0.19845,-0.05162,0.14683,0.19845,0.05162,0.125035,0.073415,13.62119458,0.106475184,0.268217684,0.018147684,3405.899,3413.884968,Schiff bases
7,C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,0.219431003,7.5624,470.532,6,0,68.96,8,0.93,5,4,0,2,0,3.3177,-0.19824,-0.065,0.13324,0.19824,0.065,0.13162,0.06662,15.01050736,0.130019697,0.294949697,0.031709697,3937.548,3942.180128,Schiff bases
8,c1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccccc3)nc3ccccc32)cc1,0.245091881,7.2004,442.566,4,0,35.64,7,0.88,5,4,0,0,0,5.7635,-0.21193,-0.02958,0.18235,0.21193,0.02958,0.120755,0.091175,10.96791884,0.079965835,0.246308335,0.004798335,4047.671,4047.6708,Benzimidazoles
9,CC(=O)c1ccc(-n2ccnc2)cc1,0.672807286,2.0749,186.214,3,0,34.89,2,0.772,5,2,0,1,0,1.6467,-0.23172,-0.06817,0.16355,0.23172,0.06817,0.149945,0.081775,12.22867625,0.13747174,0.32830424,0.02841424,1482.577,,Imidazoles
10,CC(C)c1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,0.487846583,4.0724,328.328,6,1,110.67,6,0.9682,5,4,0,4,0,7.6253,-0.22444,-0.10854,0.1159,0.22444,0.10854,0.16649,0.05795,17.25625539,0.239162382,0.434627382,0.101647382,3066.947,3061.426018,Hydrazine
11,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,0.553031528,0.0237,365.411,6,4,132.96,4,0.934,5,3,1,5,0,3.3021,-0.22201,-0.02316,0.19885,0.22201,0.02316,0.122585,0.099425,10.05783254,0.075569938,0.247867438,0.002697438,2870.25,2865.585856,other
12,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,0.674878289,0.3181,349.412,5,3,112.73,4,0.846,5,3,1,4,0,2.236,-0.24059,-0.02563,0.21496,0.24059,0.02563,0.13311,0.10748,9.304056569,0.082425903,0.269275903,0.003055903,2668.653,2668.418796,other
13,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.79776327,0.8608,334.397,4,2,86.71,4,0.92,5,2,1,4,0,1.9038,-0.24153,-0.02047,0.22106,0.24153,0.02047,0.131,0.11053,9.04731747,0.077630508,0.263895508,0.001895508,2948.703,2946.048848,other
14,Cc1cc(Cc2nc3ccccc3[nH]2)n[nH]1,0.683686542,2.18522,212.256,2,2,57.36,2,0.9219,5,4,0,0,0,6.1172,-0.2063,-0.00457,0.20173,0.2063,0.00457,0.105435,0.100865,9.914241808,0.055106029,0.210973529,0.000103529,2056.636,2054.859768,other
15,Cc1ccc(O)c(/C=N/c2ccccc2O)c1,0.774127202,3.15682,227.263,3,2,52.82,2,0.94,5,1,0,2,0,3.2094,-0.21433,-0.06583,0.1485,0.21433,0.06583,0.14008,0.07425,13.46801347,0.132137417,0.309342417,0.029182417,1742.295,1739.34992,Schiff bases
16,Cc1ncc[nH]1,0.490446891,0.71812,82.106,1,1,28.68,0,0.266,5,2,0,0,0,3.6148,-0.21193,0.03673,0.24866,0.21193,-0.03673,0.0876,0.12433,8.043111075,0.030860452,0.180625452,0.005425452,,,other
17,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnnn2[K])cc1,0.405536783,3.6718,461.01,7,1,81.65,8,0.889,5,6,0,1,0,16.4142,-0.1841,-0.07705,0.10705,0.1841,0.07705,0.130575,0.053525,18.68285848,0.159269786,0.316607286,0.055457286,3499.574,3501.095341,Imidazoles
18,CCCCCCCC[N+](C)(C)c1ccc(/C=N\c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.220932484,2.858,513.524,4,0,39.29,11,0.8648,5,4,0,1,0,,,,,,,,,,,,,,,other
19,CCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.039295846,7.515,920.96,4,0,43.18,25,0.967,5,4,0,2,0,,,,,,,,,,,,,,,other
