epoch	batch_idx	data_type	tot_loss	recon_loss	pred_loss	kld_loss	prop_mse_loss	run_time
0	0	train	9.348998833	4.208638859	5.140359879	3.85E-09	0	22.31464
0	1	train	9.391456032	4.208487797	5.182968235	3.88E-09	0	0.50584
1	0	train	9.368400764	4.224505806	5.14385643	3.86E-05	0	0.52587
1	1	train	9.385276031	4.210754013	5.17448349	3.86E-05	0	0.56018
2	0	train	9.377959061	4.208440876	5.169441319	7.71E-05	0	0.55285
2	1	train	9.362800789	4.202763462	5.159960747	7.64E-05	0	0.56002
3	0	train	9.355151939	4.192507458	5.162530899	0.000113783	0	0.55486
3	1	train	9.309430695	4.1735219	5.135793018	0.000115822	0	0.56206
4	0	train	9.304912949	4.187122345	5.117637444	0.000152689	0	0.55596
4	1	train	9.321019554	4.161055946	5.159811211	0.000152376	0	0.56006
5	0	train	9.227762604	4.137274456	5.090298557	0.000189782	0	0.52221
5	1	train	9.333220482	4.155361462	5.177670002	0.000188888	0	0.57412
6	0	train	9.285745811	4.131177425	5.15434103	0.000227456	0	0.55648
6	1	train	9.262792206	4.121180344	5.141388226	0.000223544	0	0.56321
7	0	train	9.300710678	4.11506176	5.185386658	0.000262025	0	0.55619
7	1	train	9.179668999	4.08212862	5.09727993	0.000260325	0	0.55919
8	0	train	9.236305428	4.065019417	5.170988846	0.000296979	0	0.55805
8	1	train	9.166192245	4.063049221	5.102848911	0.000294413	0	0.55836
9	0	train	9.162876511	4.029405212	5.133142376	0.000328884	0	0.55497
9	1	train	9.132112122	4.020508385	5.111275291	0.000328332	0	0.56265
10	0	train	9.113835907	3.986502981	5.126967621	0.000365372	0	0.52265
10	1	train	9.09594326	3.976104546	5.119478703	0.000359686	0	0.55827
11	0	train	9.040805054	3.938556051	5.101854229	0.000394963	0	0.57268
11	1	train	9.034763145	3.925831413	5.108539486	0.000392158	0	0.55923
12	0	train	8.962272835	3.877050829	5.084793663	0.000428189	0	0.56164
12	1	train	8.979900169	3.864050579	5.115429497	0.000419967	0	0.58647
13	0	train	8.951114845	3.846739531	5.103920937	0.000454129	0	0.56924
13	1	train	8.905213356	3.793904018	5.110856247	0.000452988	0	0.56713
14	0	train	8.87013588	3.775164032	5.094489288	0.000482786	0	0.56846
14	1	train	8.836591339	3.740628481	5.095486641	0.000476484	0	0.5645
15	0	train	8.783633614	3.718211222	5.064912891	0.00050962	0	0.51045
15	1	train	8.757778931	3.660976219	5.096300125	0.000502889	0	0.58454
16	0	train	8.701206207	3.634201431	5.066472721	0.000532314	0	0.56543
16	1	train	8.696298599	3.624052572	5.071714306	0.000531659	0	0.57416
17	0	train	8.662512779	3.577102852	5.084856319	0.00055369	0	0.58027
17	1	train	8.615010262	3.547350645	5.067106247	0.000553487	0	0.55367
18	0	train	8.528799248	3.497894287	5.030324364	0.000580644	0	0.55353
18	1	train	8.53686676	3.466388559	5.06990366	0.000574545	0	0.57576
19	0	train	8.464199257	3.41478219	5.048813438	0.000603456	0	0.60914
19	1	train	8.40514431	3.371261549	5.033287907	0.000594729	0	0.64048
20	0	train	8.362264252	3.329731417	5.031910324	0.000622617	0	0.53218
20	1	train	8.333019829	3.311830902	5.020576	0.000612804	0	0.56833
21	0	train	8.27335434	3.248945999	5.023766613	0.000641838	0	0.57349
21	1	train	8.234488678	3.201319313	5.032534981	0.000634664	0	0.60223
22	0	train	8.183751106	3.165149832	5.017939758	0.000661579	0	0.53795
22	1	train	8.1403759	3.120592165	5.019137764	0.000645637	0	0.5813
23	0	train	8.078357124	3.085293007	4.992394066	0.000669984	0	0.54851
23	1	train	8.003673935	3.011779594	4.991224861	0.000669389	0	0.56483
24	0	train	7.993085194	3.006146288	4.986242962	0.000695834	0	0.57744
24	1	train	7.904893398	2.916640854	4.987571812	0.000680613	0	0.56436
25	0	train	7.86170578	2.87668705	4.984308243	0.000710383	0	0.54026
25	1	train	7.807447433	2.84486146	4.961887741	0.000698374	0	0.57005
26	0	train	7.762868023	2.806321526	4.955827045	0.000719457	0	0.56812
26	1	train	7.702939606	2.740253448	4.961963081	0.000723183	0	0.56472
27	0	train	7.651071548	2.690942144	4.959395123	0.000734191	0	0.5702
27	1	train	7.55782156	2.640614033	4.91647501	0.000732427	0	0.58067
28	0	train	7.5191782	2.587907505	4.930521011	0.000749739	0	0.55471
28	1	train	7.468075562	2.539879322	4.927449703	0.00074635	0	0.57261
29	0	train	7.393369198	2.502447701	4.890145969	0.000775535	0	0.58779
29	1	train	7.379143906	2.425693369	4.952699566	0.000751056	0	0.56387
30	0	train	7.314130116	2.377711678	4.935638523	0.000779861	0	0.54248
30	1	train	7.26141901	2.343009281	4.917628479	0.000781133	0	0.56804
31	0	train	7.180485058	2.273762226	4.905923843	0.000798923	0	0.57363
31	1	train	7.172216225	2.261537647	4.909885406	0.000793263	0	0.55905
32	0	train	7.076818466	2.191019869	4.884985352	0.000813246	0	0.56028
32	1	train	7.047872353	2.159200048	4.88786335	0.000808947	0	0.57648
33	0	train	7.010360909	2.108333445	4.90119257	0.000835012	0	0.56063
33	1	train	6.900632477	2.057072449	4.8427351	0.000824849	0	0.56603
34	0	train	6.882187462	2.004944205	4.876390266	0.000853002	0	0.56704
34	1	train	6.834434223	1.961160779	4.872429466	0.000844037	0	0.57028
35	0	train	6.796233368	1.916292143	4.879073429	0.000867873	0	0.54422
35	1	train	6.715252304	1.881960392	4.832427025	0.000864938	0	0.56355
36	0	train	6.671979618	1.841934705	4.829152584	0.000892348	0	0.56099
36	1	train	6.648230267	1.785820556	4.861525917	0.000883826	0	0.57191
37	0	train	6.627597618	1.76364274	4.863046455	0.000908512	0	0.56845
37	1	train	6.545160103	1.717755365	4.826496983	0.000907791	0	0.5837
38	0	train	6.510522175	1.675684738	4.833906174	0.000931271	0	0.5518
38	1	train	6.468444633	1.649949026	4.817564201	0.00093144	0	0.57276
39	0	train	6.379076195	1.615822697	4.762292004	0.000961438	0	0.55676
39	1	train	6.436929703	1.586867476	4.849100971	0.000961118	0	0.5739
40	0	train	6.389748669	1.566671205	4.822088051	0.000989415	0	0.54174
40	1	train	6.299130917	1.508354568	4.789794064	0.000982334	0	0.56992
41	0	train	6.300799751	1.476188231	4.823605061	0.001006479	0	0.55959
41	1	train	6.226793957	1.479637432	4.746137524	0.001019057	0	0.57553
42	0	train	6.198627281	1.421241713	4.776345348	0.00104027	0	0.5611
42	1	train	6.197127819	1.439945221	4.756130219	0.00105244	0	0.56578
43	0	train	6.159658337	1.382816386	4.7757617	0.001080147	0	0.57912
43	1	train	6.136739731	1.384313107	4.751342201	0.001084336	0	0.55841
44	0	train	6.103620434	1.351502299	4.751003075	0.001114887	0	0.55976
44	1	train	6.093195629	1.335804582	4.756276035	0.001115044	0	0.57311
45	0	train	6.065876293	1.311099672	4.753616524	0.001160157	0	0.53116
45	1	train	6.047106838	1.318324637	4.727620602	0.001161783	0	0.57858
46	0	train	5.994291401	1.281670499	4.711425209	0.001195854	0	0.56899
46	1	train	6.028900623	1.282529831	4.745167923	0.001202776	0	0.58444
47	0	train	6.034344006	1.287766457	4.745330334	0.001247133	0	0.55156
47	1	train	5.903930473	1.2323946	4.670286465	0.001249424	0	0.57302
48	0	train	5.963324833	1.255398965	4.706633759	0.001292121	0	0.5675
48	1	train	5.921899891	1.221588731	4.699011326	0.001299916	0	0.58335
49	0	train	5.912610722	1.229236937	4.682030582	0.001343206	0	0.55643
49	1	train	5.872860336	1.190509892	4.681006908	0.001343607	0	0.57696
50	0	train	5.907314968	1.211314225	4.694606781	0.001393946	0	0.53462
50	1	train	5.857987022	1.187852931	4.66872921	0.001404905	0	0.57249
51	0	train	5.849104977	1.183826327	4.663833427	0.001445254	0	0.55842
51	1	train	5.84052124	1.171893263	4.667161846	0.001466099	0	0.57717
52	0	train	5.881889534	1.197533464	4.68283987	0.001516172	0	0.56624
52	1	train	5.77611742	1.153380156	4.621209621	0.001527896	0	0.57526
53	0	train	5.84083643	1.176590896	4.662672424	0.001573106	0	0.5653
53	1	train	5.757398891	1.135333395	4.620475674	0.001589751	0	0.57963
54	0	train	5.799469376	1.133238888	4.664587975	0.001642441	0	0.55429
54	1	train	5.750223541	1.14890821	4.59965086	0.001664487	0	0.5773
55	0	train	5.813310814	1.157806396	4.653795052	0.001709366	0	0.5473
55	1	train	5.678110504	1.098666954	4.577703094	0.001740307	0	0.56324
56	0	train	5.710016632	1.122191882	4.586038494	0.00178643	0	0.56772
56	1	train	5.741359425	1.132719135	4.606815338	0.001824882	0	0.56252
57	0	train	5.718205929	1.11276176	4.603565788	0.001878374	0	0.57788
